web-scraper-order,web-scraper-start-url,name,name-href
"1611147903-270","https://gs.statcounter.com/social-media-stats/all/afghanistan","Cameroon","https://gs.statcounter.com/social-media-stats/all/cameroon"
"1611147903-248","https://gs.statcounter.com/social-media-stats/all/afghanistan","Austria","https://gs.statcounter.com/social-media-stats/all/austria"
"1611147903-349","https://gs.statcounter.com/social-media-stats/all/afghanistan","Liberia","https://gs.statcounter.com/social-media-stats/all/liberia"
"1611147903-299","https://gs.statcounter.com/social-media-stats/all/afghanistan","Ethiopia","https://gs.statcounter.com/social-media-stats/all/ethiopia"
"1611147903-398","https://gs.statcounter.com/social-media-stats/all/afghanistan","Paraguay","https://gs.statcounter.com/social-media-stats/all/paraguay"
"1611147903-425","https://gs.statcounter.com/social-media-stats/all/afghanistan","Slovenia","https://gs.statcounter.com/social-media-stats/all/slovenia"
"1611147903-291","https://gs.statcounter.com/social-media-stats/all/afghanistan","Dominica","https://gs.statcounter.com/social-media-stats/all/dominica"
"1611147903-318","https://gs.statcounter.com/social-media-stats/all/afghanistan","Guatemala","https://gs.statcounter.com/social-media-stats/all/guatemala"
"1611147903-273","https://gs.statcounter.com/social-media-stats/all/afghanistan","Central African Republic","https://gs.statcounter.com/social-media-stats/all/central-african-republic"
"1611147903-357","https://gs.statcounter.com/social-media-stats/all/afghanistan","Malawi","https://gs.statcounter.com/social-media-stats/all/malawi"
"1611147903-453","https://gs.statcounter.com/social-media-stats/all/afghanistan","Ukraine","https://gs.statcounter.com/social-media-stats/all/ukraine"
"1611147903-360","https://gs.statcounter.com/social-media-stats/all/afghanistan","Mali","https://gs.statcounter.com/social-media-stats/all/mali"
"1611147903-245","https://gs.statcounter.com/social-media-stats/all/afghanistan","Armenia","https://gs.statcounter.com/social-media-stats/all/armenia"
"1611147903-298","https://gs.statcounter.com/social-media-stats/all/afghanistan","Estonia","https://gs.statcounter.com/social-media-stats/all/estonia"
"1611147903-322","https://gs.statcounter.com/social-media-stats/all/afghanistan","Guyana","https://gs.statcounter.com/social-media-stats/all/guyana"
"1611147903-257","https://gs.statcounter.com/social-media-stats/all/afghanistan","Benin","https://gs.statcounter.com/social-media-stats/all/benin"
"1611147903-371","https://gs.statcounter.com/social-media-stats/all/afghanistan","Mongolia","https://gs.statcounter.com/social-media-stats/all/mongolia"
"1611147903-454","https://gs.statcounter.com/social-media-stats/all/afghanistan","United Arab Emirates","https://gs.statcounter.com/social-media-stats/all/united-arab-emirates"
"1611147903-238","https://gs.statcounter.com/social-media-stats/all/afghanistan","American Samoa","https://gs.statcounter.com/social-media-stats/all/american-samoa"
"1611147903-261","https://gs.statcounter.com/social-media-stats/all/afghanistan","Bosnia And Herzegovina","https://gs.statcounter.com/social-media-stats/all/bosnia-and-herzegovina"
"1611147903-403","https://gs.statcounter.com/social-media-stats/all/afghanistan","Portugal","https://gs.statcounter.com/social-media-stats/all/portugal"
"1611147903-463","https://gs.statcounter.com/social-media-stats/all/afghanistan","Yemen","https://gs.statcounter.com/social-media-stats/all/yemen"
